,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
83,2,2015-01-15 14:00:43,2015-01-15 14:58:40,1,15.2,-73.80126190185547,40.667728424072266,2,N,-73.99335479736328,40.75600051879882,1,52.0,0.0,0.5,14.33,5.33,0.3,72.46
84,2,2015-01-15 14:00:43,2015-01-15 14:41:50,3,9.96,-73.99095916748048,40.74534225463867,1,N,-73.97360229492188,40.63248062133789,2,35.5,0.0,0.5,0.0,0.0,0.3,36.3
85,2,2015-01-15 14:00:44,2015-01-15 14:04:55,1,0.76,-73.96351623535155,40.77156066894531,1,N,-73.95298767089844,40.7724609375,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8
86,2,2015-01-15 14:00:44,2015-01-15 14:04:06,1,0.38,-73.99138641357422,40.77016830444336,1,N,-73.98978424072266,40.77473831176758,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
87,2,2015-01-15 14:00:45,2015-01-15 14:05:40,2,0.63,-73.95426940917967,40.77827072143555,1,N,-73.9562759399414,40.784046173095696,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8
88,2,2015-01-15 14:00:45,2015-01-15 14:39:09,1,12.63,-73.78852844238281,40.64778518676758,1,N,-73.9778823852539,40.689640045166016,1,40.0,0.0,0.5,12.0,0.0,0.3,52.8
89,2,2015-01-15 14:00:45,2015-01-15 14:10:24,1,1.2,-73.99400329589844,40.75135040283203,1,N,-73.98135375976561,40.76112365722656,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
90,2,2015-01-15 14:00:45,2015-01-15 14:16:31,2,1.18,-74.00641632080078,40.739654541015625,1,N,-73.98991394042967,40.73839569091797,1,10.5,0.0,0.5,2.1,0.0,0.3,13.4
91,2,2015-01-15 14:00:45,2015-01-15 14:47:12,1,10.89,-74.00640869140625,40.73976516723633,1,N,-73.87119293212889,40.77421188354492,1,40.5,0.0,0.5,9.17,5.33,0.3,55.8
92,2,2015-01-15 14:00:46,2015-01-15 14:41:54,6,10.39,-73.99309539794923,40.747257232666016,1,N,-73.86483001708984,40.770320892333984,1,38.0,0.0,0.5,10.83,5.33,0.3,54.96
93,2,2015-01-15 14:00:46,2015-01-15 14:33:02,5,2.96,-73.96273040771484,40.774169921875,1,N,-73.99333190917967,40.74987030029297,2,20.5,0.0,0.5,0.0,0.0,0.3,21.3
94,2,2015-01-15 14:00:46,2015-01-15 14:10:09,1,1.18,-73.98255920410156,40.77320098876953,1,N,-73.96412658691406,40.76470947265625,1,8.0,0.0,0.5,1.6,0.0,0.3,10.4
95,2,2015-01-15 14:00:46,2015-01-15 14:14:51,1,1.62,-73.97618103027344,40.75120544433594,1,N,-73.9863739013672,40.76658630371094,1,10.5,0.0,0.5,2.1,0.0,0.3,13.4
96,2,2015-01-15 14:00:47,2015-01-15 14:16:01,1,1.56,-73.95927429199219,40.774375915527344,1,N,-73.9763946533203,40.762939453125,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
97,2,2015-01-15 14:00:47,2015-01-15 14:23:36,5,4.96,-73.97286224365233,40.74352264404297,1,N,-73.91412353515625,40.76496887207031,2,19.0,0.0,0.5,0.0,0.0,0.3,19.8
98,1,2015-01-26 12:41:08,2015-01-26 12:48:47,2,1.0,-73.96663665771484,40.80465698242188,1,N,-73.95440673828125,40.808372497558594,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
99,1,2015-01-26 12:41:09,2015-01-26 12:55:10,1,4.3,-73.96664428710938,40.80441665649414,1,N,-73.99112701416014,40.76107025146485,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
100,1,2015-01-26 12:41:09,2015-01-26 12:45:08,1,0.5,-73.9828109741211,40.74525451660156,1,N,-73.98004150390625,40.7520751953125,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
101,1,2015-01-26 12:41:09,2015-01-26 12:45:39,1,0.8,-73.99149322509764,40.73893737792969,1,N,-73.98859405517578,40.73051071166992,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
102,1,2015-01-26 12:41:10,2015-01-26 13:05:04,1,1.1,-73.98239135742188,40.75740814208984,1,N,-73.96862030029298,40.76152038574219,1,14.5,0.0,0.5,3.05,0.0,0.3,18.35
103,1,2015-01-26 12:41:10,2015-01-26 13:00:55,1,2.9,-73.97307586669923,40.78036117553711,1,N,-73.98625946044923,40.74664306640625,2,14.0,0.0,0.5,0.0,0.0,0.3,14.8
104,1,2015-01-26 12:41:11,2015-01-26 12:44:41,1,0.3,-73.97181701660156,40.75690078735352,1,N,-73.97454833984375,40.75173568725586,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
105,1,2015-01-26 12:41:12,2015-01-26 12:59:47,1,3.5,-73.97347259521484,40.74392318725586,1,N,-73.98201751708984,40.77973556518555,1,15.0,0.0,0.5,3.15,0.0,0.3,18.95
106,1,2015-01-26 12:41:12,2015-01-26 12:49:49,1,1.2,-74.01268005371092,40.706836700439446,1,N,-74.01604461669923,40.714859008789055,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
107,1,2015-01-26 12:41:13,2015-01-26 12:51:16,1,1.3,-73.9763946533203,40.748401641845696,1,N,-73.99404907226561,40.74616241455078,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
